case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-0021,"HR department (192.168.20.0/24) can reach local servers, but HTTPS (port 443) to Web Server (10.0.0.80) fails.","Router-FW interface Gi0/0/0 facing HR subnet.","FILTER_HR 10 permit tcp 192.168.20.0 0.0.0.255 host 10.0.0.80 eq www | 20 deny ip any any","ACL FILTER_HR permits HTTP (eq www / port 80) but lacks a permit rule for HTTPS (eq 443 / eq https), so implicit deny blocks HTTPS.",Layer 4,ACL,High
NET-0022,"ACL intended to block Guest Wi-Fi (172.16.99.0/24) from accessing Internal LAN (10.0.0.0/8) is ineffective.","Guest traffic enters Router-GW on Gi0/0/1.","Gi0/0/1 ip access-group BLOCK_GUEST out | BLOCK_GUEST deny 172.16.99.0 0.0.0.255 10.0.0.0 0.255.255.255","ACL direction error: 'ip access-group BLOCK_GUEST out' applied on inbound interface Gi0/0/1 instead of 'in'.",Layer 3/4,ACL,High
NET-0023,"ACL wildcard mask error causes entire subnet block instead of single host 192.168.1.50.","Router-1 filtering specific management workstation.","Standard IP access list SECURE_MGMT 10 permit 192.168.1.50 255.255.255.255","Inverted wildcard mask syntax: Standard ACL requires wildcard mask '0.0.0.0' or host keyword for host IP, not subnet mask '255.255.255.255'.",Layer 3/4,ACL,High
NET-0024,"All traffic from Sales VLAN is blocked after adding permit line 30 to ACL.","Router-1 applying access list to Sales gateway.","SALES_POLICY 10 deny ip any any | 20 permit tcp ... | 30 permit ip ...","Line order error: Line 10 'deny ip any any' matches all packets first, rendering subsequent permit statements unreachable.",Layer 3/4,ACL,Critical
NET-0025,"Telnet/SSH access to Router-1 fails from Network Admin subnet 10.10.10.0/24.","VTY lines configured with access-class.","line vty 0 4 access-class 50 in | ACL 50 permit 10.10.20.0 0.0.0.255","VTY access-list 50 permits subnet 10.10.20.0/24 instead of Admin subnet 10.10.10.0/24.",Layer 7,ACL,Medium
NET-0026,"LAN hosts behind Router-NAT (192.168.1.0/24) cannot reach external IP 8.8.8.8.","Router-NAT Gi0/0/0 connected to LAN; Gi0/0/1 connected to ISP.","Router-NAT Gi0/0/1 ip nat outside | Gi0/0/0 ip nat inside is missing","Missing 'ip nat inside' configuration on LAN interface GigabitEthernet0/0/0.",Layer 3,NAT,High
NET-0027,"Dynamic NAT Overload (PAT) fails for subnet 192.168.20.0/24; ping to public internet drops.","Router-Edge translating LAN subnets to WAN interface.","ip nat inside source list NAT_ACL interface Gi0/0/1 overload | NAT_ACL permit 192.168.10.0 0.0.0.255","NAT ACL NAT_ACL only permits 192.168.10.0/24; subnet 192.168.20.0/24 is omitted and blocked by implicit deny.",Layer 3,NAT,High
NET-0028,"External users cannot access internal Web Server via Static NAT public IP 203.0.113.10.","Static NAT maps public 203.0.113.10 to private Web Server.","NAT static translation 203.0.113.10 -> 192.168.1.150 | Web server actual IP 192.168.1.105","Typo in Static NAT inside local address: configured as 192.168.1.150 instead of actual Web Server IP 192.168.1.105.",Layer 3,NAT,High
NET-0029,"Wireless clients fail WPA2 Enterprise / PSK authentication on SSID 'Cisco-Corp'.","Laptop connecting to Wireless Access Point AP-1.","WLC PSK 'Cisco12345!' | Laptop Client Key 'cisco12345!'","Case-sensitivity Pre-Shared Key mismatch on Laptop client ('cisco12345!' vs 'Cisco12345!').",Layer 2,Wireless,Medium
NET-0030,"Guest Wi-Fi users can browse corporate internal servers (10.0.0.0/8), violating security policy.","Guest Wi-Fi mapped to VLAN 90 on WLC and Access Switch.","GigabitEthernet0/0/0.90 encapsulation dot1Q 90 | No ip access-group applied","Guest isolation failure: Missing outbound/inbound ACL on Guest VLAN interface GigabitEthernet0/0/0.90 to block access to corporate 10.0.0.0/8 networks.",Layer 3/4,Wireless,High
